Hugo_Symbol,class,pvalue
ABL1,1,0.03804304170957301
AKT1,1,0.6059875110170663
ALK,1,0.016358995187252826
ARAF,1,0.05095643076046592
ATM,1,1.0
BRAF,1,1.0
BRCA1,1,0.7873743952046902
BRCA2,1,0.8000865606362803
CDK4,1,0.3605085670054563
CDKN2A,1,1.0
EGFR,1,0.9783474865099896
ERBB2,1,0.5502879632870332
ERCC2,1,0.19051439959190164
ESR1,1,1.900039023244423e-08
EWSR1,1,0.0061799375512629
FGFR1,1,0.003536273696520525
FGFR2,1,0.5849203767724335
FGFR3,1,0.29673076509851826
FLT3,1,0.10461768626794644
HRAS,1,1.0
IDH1,1,1.0
IDH2,1,0.499324727418826
JAK2,1,0.020346985811006007
KDM6A,1,0.9443432337380974
KIT,1,0.333089626197498
KRAS,1,1.0
MAP2K1,1,0.551594331960579
MDM2,1,0.0003335268732359062
MET,1,0.4366139743135832
MTOR,1,0.708741324869607
NF1,1,0.9014444303620007
NRAS,1,1.0
NTRK1,1,0.00046223260752611874
NTRK2,1,0.0024730232857404625
NTRK3,1,0.01364862630610278
PDGFRA,1,0.10333855201495433
PDGFRB,1,0.0025045134887794625
PIK3CA,1,1.0
PTCH1,1,0.34308186544361624
PTEN,1,1.0
RET,1,0.028929794427570092
ROS1,1,0.013878986163060363
SMARCB1,1,0.06073532319698757
TSC1,1,0.22965226952485662
TSC2,1,0.37301846927650917
RP13-395E19.3,0,0.2549794815391902
ADARB1,0,0.006346268857628581
APOC3,0,0.00035063793644881877
OR8B12,0,0.030650944831604656
RP11-427H3.3,0,0.2549794815391902
PAM,0,0.022032879520223925
C1orf21,0,0.0047409215929398
PAPL,0,0.02528268488127784
PTMS,0,0.0369542076370396
MATN4,0,0.12718114650562976
DMRT1,0,0.0
GPR149,0,0.015783372934824586
PSMB10,0,0.00032280668874776875
MYBL2,0,0.04212233667679934
RBM28,0,0.033685217228047785
ZNF833P,0,0.2549794815391902
ETV2,0,1.505519257645625e-05
TSSC1,0,0.009391851701323787
ABRA,0,9.917297394625e-06
C7orf69,0,0.001112959639259825
LILRA4,0,0.04090669221218833
ZNF709,0,0.009116458481340963
ZNF595,0,0.001822294520768425
RHCG,0,0.008932730763949782
RPS26,0,0.01721538169103197
ZEB2,0,0.1961249367657773
BAIAP2L1,0,0.007977789916882156
TRAP1,0,0.011743741814197519
NXPH2,0,0.021050541046539632
FOXF2,0,0.0013813109483015375
OR8S1,0,0.018107058073331694
ARPC4-TTLL3,0,0.2549794815391902
KRT78,0,0.07722065159735723
CCL26,0,0.05824847729619211
CCL4L2,0,3.383089967731875e-05
MIR369,0,0.2549794815391902
INTS4L2,0,0.2549794815391902
COX7B,0,0.016776251092540155
CEACAM1,0,0.007783508101640532
ZNF627,0,0.000462274021951575
RNU6-714P,0,0.2549794815391902
CACNA1E,0,2.7143406461836498e-09
COL11A1,0,0.1264885385358645
DST,0,0.24391506156023107
TTN,0,0.0
