gene,class,pvalue
ABL1,1,0.03804304170957301
ACVR1,1,0.010741170701969718
ACVR1B,1,0.16596827426881325
ACVR2A,1,0.32295904158284877
AJUBA,1,0.07860381476504245
AKT1,1,0.6059875110170663
ALB,1,0.19151057811684014
ALK,1,0.016358995187252826
AMER1,1,0.0
APC,1,1.0
APOB,1,2.257641333190625e-05
AR,1,0.0017396753246301687
ARAF,1,0.05095643076046592
ARHGAP35,1,0.912053870424906
ARID1A,1,1.0
ARID2,1,0.2725511076874492
ARID5B,1,0.14416570283179378
ASXL1,1,0.21420375622311766
ASXL2,1,0.23303399097962654
ATF7IP,1,0.16581944622256176
ATM,1,1.0
ATR,1,0.6343572494529585
ATRX,1,0.872434655896663
ATXN3,1,0.055208675160297156
AXIN1,1,0.24461920223352476
AXIN2,1,0.032994016773191415
B2M,1,0.029893451121519074
BAP1,1,0.9485274080900108
BCL2,1,0.0096117769206011
BCL2L11,1,0.1364181494267255
BCOR,1,0.7113138777605568
BRAF,1,1.0
BRCA1,1,0.7873743952046902
BRCA2,1,0.8000865606362803
BRD7,1,0.5315409087455825
BTG2,1,9.7163635390625e-06
CACNA1A,1,0.0
CARD11,1,0.018736449403339357
CASP8,1,1.0
CBFB,1,0.2306991095156162
CCND1,1,0.14267173557444124
CD70,1,0.0012067833021969186
CD79B,1,0.14260577605470626
CDH1,1,1.0
CDK12,1,0.5513763344275199
CDK4,1,0.3605085670054563
CDKN1A,1,0.23120456440186163
CDKN1B,1,0.2138337459518976
CDKN2A,1,1.0
CDKN2C,1,0.018986372556209007
CEBPA,1,1.4657478339582017e-07
CHD3,1,0.2253562280080961
CHD4,1,0.7746154052659007
CHD8,1,0.2580369306091752
CHEK2,1,0.13532886639594255
CIC,1,1.0
CNBD1,1,0.13821041267598713
COL5A1,1,0.08200261632481047
CREB3L3,1,0.04135133796773233
CREBBP,1,0.807173710706024
CSDE1,1,0.04333424449295104
CTCF,1,1.0
CTNNB1,1,1.0
CTNND1,1,0.0748726924882432
CUL1,1,0.29036816250157266
CUL3,1,0.2290715570632448
CYLD,1,0.05965931870300915
CYSLTR2,1,0.10836025428791628
DACH1,1,0.007206384432632
DAZAP1,1,0.3578007308619853
DDX3X,1,0.13863199478862082
DHX9,1,0.1254511496177388
DIAPH2,1,0.0662835880647354
DICER1,1,0.24419305693049756
DMD,1,1.091186818785173e-06
DNMT3A,1,0.27666706098938754
EEF1A1,1,0.2666813027215456
EEF2,1,1.108763089895e-05
EGFR,1,0.9783474865099896
EGR3,1,0.014744271421113637
EIF1AX,1,0.3654852091158193
ELF3,1,0.7956447316695543
EP300,1,1.0
EPAS1,1,0.21123351093844717
EPHA2,1,0.34248341574152597
EPHA3,1,0.0
ERBB2,1,0.5502879632870332
ERBB3,1,0.2470257067248025
ERBB4,1,0.10177584448835361
ERCC2,1,0.19051439959190164
ESR1,1,1.900039023244423e-08
EZH2,1,0.00018720067797339376
FAM46D,1,0.006837034977913213
FAT1,1,0.81134136050553
FBXW7,1,1.0
FGFR1,1,0.003536273696520525
FGFR2,1,0.5849203767724335
FGFR3,1,0.29673076509851826
FLNA,1,0.03782484518295788
FLT3,1,0.10461768626794644
FOXA1,1,0.22645233258793196
FOXA2,1,0.003782021699903206
FOXQ1,1,0.024128579821129762
FUBP1,1,0.8371676937393036
GABRA6,1,0.08058403405025096
GATA3,1,0.9375217043990307
GNA11,1,0.4215243048277833
GNA13,1,0.10820833456964382
GNAQ,1,0.5806257030699528
GNAS,1,0.12179466876563631
GPS2,1,0.3167039120676365
GRIN2D,1,9.228773429331847e-08
GTF2I,1,0.7037090335504103
H3F3A,1,0.1842426433688007
H3F3C,1,0.003991422434933081
HGF,1,0.04174823678626434
HIST1H1C,1,0.018357316941959436
HIST1H1E,1,0.08599630534232712
HLA-A,1,0.48731570027850807
HLA-B,1,0.4880657001081127
HRAS,1,1.0
HUWE1,1,0.06818195975988868
IDH1,1,1.0
IDH2,1,0.499324727418826
IL6ST,1,0.21221871329172418
IL7R,1,0.03541106877204383
INPPL1,1,0.2965369648296008
IRF2,1,0.13582792916929995
IRF6,1,0.1994050681727014
JAK1,1,0.6190590020883495
JAK2,1,0.020346985811006007
JAK3,1,0.0008602660035602062
KANSL1,1,0.27066509118255044
KDM5C,1,0.20322409865385513
KDM6A,1,0.9443432337380974
KEAP1,1,1.0
KEL,1,0.04871139421764765
KIF1A,1,0.0037238089641851687
KIT,1,0.333089626197498
KLF5,1,0.2680199393663428
KMT2A,1,0.5392871411703272
KMT2B,1,0.07381763929417993
KMT2C,1,0.8765731769436919
KMT2D,1,0.8050315574140402
KRAS,1,1.0
KRT222,1,0.3282761689205755
LATS1,1,0.08775220221688783
LATS2,1,2.672226014626875e-05
LEMD2,1,0.009345381746705718
LZTR1,1,0.5130208473176223
MACF1,1,0.15941274959015167
MAP2K1,1,0.551594331960579
MAP2K4,1,0.2847809747669356
MAP3K1,1,1.0
MAP3K4,1,0.18067334707282814
MAPK1,1,0.06535158377382384
MAX,1,0.13878249308027726
MECOM,1,0.034244823692644574
MED12,1,0.4676028084797324
MEN1,1,0.16450695771126264
MET,1,0.4366139743135832
MGA,1,0.06777416944494713
MGMT,1,0.002684422441243175
MLH1,1,0.024475762029648657
MSH2,1,0.060860368819360376
MSH3,1,0.22425538442133527
MSH6,1,0.08632524293385048
MTOR,1,0.708741324869607
MUC6,1,0.35753417714760655
MYC,1,0.5284345032982058
MYCN,1,0.015943533660953725
MYD88,1,0.05585707550271027
MYH9,1,0.16671036554168187
NCOR1,1,0.2639393368812192
NF1,1,0.9014444303620007
NF2,1,0.9783474865099896
NFE2L2,1,0.8268434542699501
NIPBL,1,0.5176211339225882
NOTCH1,1,0.9255288625017567
NOTCH2,1,0.02040133267852373
NPM1,1,0.10549199747031178
NRAS,1,1.0
NSD1,1,0.6617212262859796
NUP133,1,0.07756987940094914
NUP93,1,0.26988206555572625
PAX5,1,0.01136202433628298
PBRM1,1,0.8357119384404599
PCBP1,1,0.3057320049743768
PDGFRA,1,0.10333855201495433
PDS5B,1,0.04398335963845702
PGR,1,0.0009097394459497937
PHF6,1,0.008433293873775612
PIK3CA,1,1.0
PIK3CB,1,0.3983880469538734
PIK3CG,1,0.016932523501670724
PIK3R1,1,1.0
