Gene,Cancer,Source
ZBTB20,Glioblastoma,"Mir-758-5p Suppresses Glioblastoma Proliferation, Migratio and Invasion by TargetingZBTB20"
BTG2,Prostate cancer,Androgen-regulated miR-32 targets BTG2 and is overexpressed in castration-resistant prostate cancer
HLA-A,Prostate cancer,A Phase I Clinical Trial of CD1c (BDCA-1)+ Dendritic Cells Pulsed With HLA-A*0201 Peptides for Immunotherapy of Metastatic Hormone Refractory Prostate Cancer
IL7R,Cervical cancer,Up-regulation of inflammation-related LncRNA-IL7R predicts poor clinical outcome in patients with cervical cancer
ACVR1,Endogenous pontine glioma,Repurposing vandetanib plus everolimus for the treatment of ACVR1-mutant diffuse intrinsic pontine glioma
COL5A1,Tongue Squamous Cell Carcinoma,Differential clinical significance of COL5A1 and COL5A2 in tongue squamous cell carcinoma
ATRX,Neuroblastoma,Therapeutic vulnerabilities in the DNA damage response for the treatment of ATRX mutant neuroblastoma
TBX3,Colorectal cancer,Overexpression of Tbx3 is correlated with Epithelial-Mesenchymal Transition phenotype and predicts poor prognosis of colorectal cancer
CUL3,"Lung cancer, etc.",Targeting Cul3-scaffold E3 ligase complex via KLHL substrate adaptors for cancer therapy
PPM1D,Breast cancer,The role of PPM1D in cancer and advances in studies of its inhibitors
EPAS1,Breast cancer,EPAS1 targeting by miR-152-3p in Paclitaxel-resistant Breast Cancer
ZFP36L2,Pancreatic ductal adenocarcinoma,ZFP36L2 promotes cancer cell aggressiveness and is regulated by antitumor microRNA-375 in pancreatic ductal adenocarcinoma
NFE2L2,Non-small cell lung cancer,Clinical Implications of KEAP1-NFE2L2 Mutations in NSCLC
TGFBR2,Lung cancer,Targeting hyperactive TGFBR2 for treating MYOCD deficient lung cancer
MACF1,Glioblastoma,Abstract 3838: Inhibition of the spectraplakin protein MACF1 sensitizes glioblastomas to BCNU
ELF3,Non-small cell lung cancer,Inhibition of ELF3 confers synthetic lethality of PARP inhibitor in non-small cell lung cancer
RHOB,Anaplastic Thyroid Cancer,Detailed Molecular Fingerprinting of Four New Anaplastic Thyroid Carcinoma Cell Lines and Their Use for Verification of RhoB as a Molecular Therapeutic Target
KLF5,Triple Negative Breast Cancer,Discovery of novel mifepristone derivatives via suppressing KLF5 expression for the treatment of triple-negative breast cancer
PIK3R2,Endometrial cancer,High Frequency of PIK3R1 and PIK3R2 Mutations in Endometrial Cancer Elucidates a Novel Mechanism for Regulation of PTEN Protein Stability
DDX3X,Renal cell carcinoma,DDX3X is Epigenetically Repressed in Renal Cell Carcinoma and Serves as a Prognostic Indicator and Therapeutic Target in Cancer Progression
SF3B1,Prostate cancer,Spliceosome component SF3B1 as novel prognostic biomarker and therapeutic target for prostate cancer
SOS1,Lung cancer,Marked synergy by vertical inhibition of EGFR signaling in NSCLC spheroids shows SOS1 is a therapeutic target in EGFR-mutated cancer
STAG2,Bladder Cancer,The role of STAG2 in bladder cancer
FUBP1,"Breast cancer, stomach cancer",MiR-16 mediates trastuzumab and lapatinib response in ErbB-2-positive breast and gastric cancer via its novel targets CCNJ and FUBP1
GNA13,Colorectal cancer,"miRNA 30d serves a critical function in colorectal cancer initiation, progression and invasion via directly targeting the GNA13 gene"
CD79B,Non-Hodgkin's Lymphoma,"Therapeutic potential of an anti-CD79b antibody–drug conjugate, anti–CD79b-vc-MMAE, for the treatment of non-Hodgkin lymphoma"
NTRK1,Lung cancer,Identification of Existing Drugs That Effectively Target NTRK1 and ROS1 Rearrangements in Lung Cancer
KDM6A,Bladder Cancer,"Kdm6a Deficiency Activates Inflammatory Pathways, Promotes M2 Macrophage Polarization, and Causes Bladder Cancer in Cooperation with p53 Dysfunction"
TP53INP1,Hepatocellular carcinoma,Upregulated miR-182 increases drug resistance in cisplatin-treated HCC cell by regulating TP53INP1
ZNF750,Nasopharyngeal Cancer,m6A-mediated ZNF750 repression facilitates nasopharyngeal carcinoma progression
GPR133,Glioblastoma,GPR133 Promotes Glioblastoma Growth in Hypoxia
MAPK1,Head and neck squamous cell carcinoma,Linc00161 regulated the drug resistance of ovarian cancer by sponging microRNA-128 and modulating MAPK1
EPHA3,Melanoma,EphA3 pay-loaded antibody therapeutics for the treatment of glioblastoma
CDK12,Prostate cancer,CDK12: a potential therapeutic target in cancer
